Landreis ID,weekly_cases,inzidenz,weekly_cases_A00-A04,inzidenz_A00-A04,weekly_cases_A05-A14,inzidenz_A05-A14,weekly_cases_A15-A34,inzidenz_A15-A34,weekly_cases_A35-A59,inzidenz_A35-A59,weekly_cases_A60-A79,inzidenz_A60-A79,weekly_cases_A80+,inzidenz_A80+,weekly_cases_unbekannt,inzidenz_unbekannt
1001,200.0,223.45370039327852,19.0,431.9163446237781,40.0,528.192261983362,79.0,292.20298860778223,50.0,179.96616636072417,10.0,56.14823133071308,2.0,35.951824555096174,0.0,0.0
1002,392.0,158.3531274742676,20.0,176.4757786993735,83.0,427.3064250411862,141.0,183.46475134670933,106.0,134.07199413118818,34.0,73.961279095062,8.0,56.53310720090453,,
1003,418.0,192.4511275426109,19.0,201.7199278054995,93.0,521.9441014704232,119.0,226.00801473800163,142.0,195.85396466353117,39.0,81.86913533597834,6.0,36.36363636363637,,
1004,132.0,166.06489111427027,6.0,166.06698034874066,35.0,483.49219505456557,43.0,223.46949381561168,42.0,156.48869182905474,5.0,28.650011460004585,1.0,17.208742040956807,0.0,0.0
1051,116.0,87.08054950829518,6.0,111.71104077452988,28.0,241.52505822479083,33.0,118.00886854527249,37.0,81.91277396502103,11.0,33.13851900945954,1.0,10.0999899000101,,
1053,523.0,265.1269364911996,28.0,294.3959625696562,111.0,588.6720407297412,164.0,413.12945562636975,171.0,237.66834841345954,41.0,94.24420742920191,8.0,55.164804854502826,0.0,0.0
1054,158.0,95.46424018319466,13.0,188.81626724763981,33.0,236.00085818493886,38.0,105.94992471979033,52.0,91.36431520688747,18.0,44.74050507059057,4.0,33.140016570008285,0.0,0.0
1055,288.0,143.58289169961262,15.0,204.9460308785353,68.0,422.04568023833167,66.0,181.07492660978355,107.0,153.6760164878567,27.0,49.734748010610076,5.0,29.861442904921166,0.0,0.0
1056,613.0,194.9801361998276,25.0,166.36720569641312,96.0,323.2867486108772,197.0,299.9025697235416,213.0,185.1513808120583,58.0,84.69378814871061,24.0,108.25439783491204,0.0,0.0
1057,159.0,123.59402084774615,2.0,37.53753753753754,29.0,256.00282485875704,42.0,178.73861605243,62.0,137.15903811693914,20.0,60.65200909780136,4.0,38.6324125941665,0.0,0.0
1058,370.0,135.64292915406472,27.0,223.69511184755592,89.0,349.82901615502533,78.0,142.76562642994418,120.0,122.67179162151663,50.0,77.22604062089736,5.0,25.793139025019343,1.0,36.48330159286095
1059,227.0,113.48581427321585,11.0,118.828994274603,68.0,364.904749127985,45.0,110.03790194400294,83.0,118.62735289493618,18.0,37.5,2.0,13.886960144424386,0.0,0.0
