Landreis ID,weekly_cases,inzidenz,weekly_cases_A00-A04,inzidenz_A00-A04,weekly_cases_A05-A14,inzidenz_A05-A14,weekly_cases_A15-A34,inzidenz_A15-A34,weekly_cases_A35-A59,inzidenz_A35-A59,weekly_cases_A60-A79,inzidenz_A60-A79,weekly_cases_A80+,inzidenz_A80+,weekly_cases_unbekannt,inzidenz_unbekannt
1001,43.0,48.04254558455488,2.0,45.464878381450326,6.0,79.2288392975043,19.0,70.27666814617547,14.0,50.390526581002774,2.0,11.229646266142616,0.0,0.0,0.0,0.0
1002,119.0,48.071485126116954,4.0,35.2951557398747,24.0,123.55848434925865,43.0,55.950243318500014,38.0,48.06354506589765,10.0,21.753317380900587,0.0,0.0,,
1003,47.0,21.639241613642852,2.0,21.233676611105214,3.0,16.83690649904591,23.0,43.68222133591628,12.0,16.551039267340663,5.0,10.496042991792095,2.0,12.121212121212121,,
1004,41.0,51.580761633977886,1.0,27.677830058123444,7.0,96.6984390109131,17.0,88.34840453175346,13.0,48.436976042326464,1.0,5.730002292000917,2.0,34.417484081913614,0.0,0.0
1051,28.0,21.019442984760904,0.0,0.0,6.0,51.755369619598035,7.0,25.032184236875985,13.0,28.78016382554793,2.0,6.025185274447189,0.0,0.0,,
1053,35.0,17.742720415281045,0.0,0.0,2.0,10.606703436571914,14.0,35.26714865103156,19.0,26.40759426816217,0.0,0.0,0.0,0.0,,
1054,20.0,12.084081035847426,3.0,43.57298474945534,3.0,21.454623471358076,4.0,11.152623654714771,5.0,8.785030308354564,4.0,9.942334460131239,1.0,8.285004142502071,,
1055,38.0,18.94496487703222,1.0,13.663068725235687,8.0,49.65243296921549,9.0,24.692035446788665,18.0,25.85204015683571,2.0,3.684055408193339,0.0,0.0,0.0,0.0
1056,114.0,36.2605799784345,4.0,26.6187529114261,25.0,84.18925745074928,33.0,50.237486298867374,43.0,37.37797828600238,8.0,11.681901813615257,1.0,4.510599909788001,0.0,0.0
1057,24.0,18.655701260037155,2.0,37.53753753753754,1.0,8.82768361581921,7.0,29.789769342071665,10.0,22.12242550273212,3.0,9.097801364670204,1.0,9.658103148541626,0.0,0.0
1058,67.0,24.562368252222527,2.0,16.570008285004143,10.0,39.306631028654536,20.0,36.60657087947286,25.0,25.55662325448263,9.0,13.900687311761526,1.0,5.158627805003869,,
1059,34.0,16.9978752655918,1.0,10.802635843145728,4.0,21.464985242822646,6.0,14.671720259200391,22.0,31.443394743236098,1.0,2.083333333333333,0.0,0.0,0.0,0.0
1060,70.0,25.359378622768375,2.0,15.667841754798276,10.0,38.45858010922237,24.0,41.337972372455134,27.0,26.644824489554242,4.0,6.586855928993693,3.0,16.402405686167306,,
1061,24.0,18.272210252232636,1.0,17.5530981218185,1.0,8.659508139937651,5.0,18.268844312908765,11.0,23.405749303147008,4.0,13.293894778822825,2.0,21.47535702781059,0.0,0.0
1062,121.0,49.754107797825625,3.0,26.68326958996709,15.0,63.29648071567221,39.0,83.91969530695242,36.0,40.05162209069467,12.0,22.076679667378027,16.0,86.47713760674522,0.0,0.0
2000,1100.0,59.744326868816124,32.0,36.85543682574262,157.0,96.25173392777432,435.0,103.73262814036093,365.0,57.59842349102227,83.0,20.98975004054102,28.0,22.483908185497892,0.0,0.0
3101,94.0,37.85865029884169,2.0,17.83803068141277,14.0,71.93874929345871,39.0,56.69758381065915,34.0,41.146287152676926,3.0,6.015399422521655,2.0,11.465917560052743,,
3102,73.0,69.55825742272363,8.0,139.6891915488039,20.0,196.2901167926195,21.0,88.72364696438379,21.0,62.102617181724085,3.0,12.928805378383037,0.0,0.0,0.0,0.0
3103,94.0,75.7142511941104,3.0,45.42013626040878,30.0,272.52906976744185,24.0,82.70158511371469,29.0,68.73178015310596,8.0,30.876109610189115,0.0,0.0,,
3151,185.0,105.16143701682583,8.0,85.91987971216841,32.0,186.82858477347034,72.0,191.44353745114202,52.0,81.2563481521994,16.0,42.265426880811496,4.0,37.65060240963855,1.0,56.64984166369255
3153,36.0,26.274687258236384,0.0,0.0,8.0,79.80845969672785,9.0,31.3687218988533,5.0,11.068068622025457,11.0,31.29890453834116,3.0,24.346696964778445,,
3154,27.0,29.57056961678732,2.0,47.40459824602986,5.0,63.69426751592356,7.0,37.92804508019072,11.0,33.96529364540233,2.0,9.327053117567505,0.0,0.0,0.0,0.0
3155,56.0,42.179791360674876,1.0,18.501387604070306,7.0,63.89193136181088,10.0,38.05319837132311,24.0,52.861107440200875,11.0,33.31516142710037,3.0,26.7260579064588,,
3157,113.0,84.35039002724592,7.0,105.13667768098529,38.0,293.0063998766289,25.0,88.30801836806782,36.0,73.98273736128236,5.0,17.24078480052412,2.0,21.732043898728676,0.0,0.0
